protein,fold_change,pval,n healthy,n sick,p_adj
P1,-0.33095698,9.08E-31,1006,48603,2.66E-27
P2,0.136998441,3.83E-19,1006,48603,5.59E-16
P3,-0.089242741,1.16E-18,1006,48603,1.13E-15
P4,0.140698515,2.12E-16,1006,48603,1.55E-13
P5,0.111402312,1.66E-15,1006,48603,9.71E-13
P6,0.109728623,4.95E-13,1006,48603,2.41E-10
P7,0.106557215,2.35E-12,1006,48603,9.83E-10
P8,0.106342037,9.98E-12,1006,48603,3.64E-09
P9,0.110091382,2.79E-11,1006,48603,9.06E-09
P10,0.069278152,7.02E-11,1006,48603,2.05E-08
P11,0.104861443,1.22E-10,1006,48603,3.25E-08
P12,-0.039331128,2.34E-10,1006,48603,5.70E-08
P13,0.292540308,4.84E-10,1006,48603,1.09E-07
P14,0.093218432,5.79E-10,1006,48603,1.21E-07
P15,0.078759919,6.36E-10,1006,48603,1.24E-07
P16,0.097941468,2.13E-09,1006,48603,3.90E-07
P17,0.089497917,2.95E-09,1006,48603,5.08E-07
P18,0.088427119,3.30E-09,1006,48603,5.35E-07
P19,0.086067156,4.28E-09,1006,48603,6.25E-07
P20,-0.049693342,4.12E-09,1006,48603,6.25E-07
P21,0.088408911,9.26E-09,1006,48603,1.26E-06
P22,0.065743826,9.50E-09,1006,48603,1.26E-06
P23,-0.127607711,1.26E-08,1006,48603,1.60E-06
P24,0.070038638,1.81E-08,1006,48603,2.21E-06
P25,0.053995655,1.91E-08,1006,48603,2.23E-06
P26,0.063423682,1.98E-08,1006,48603,2.23E-06
P27,-0.071255328,2.84E-08,1006,48603,3.07E-06
P28,-0.127873027,4.49E-08,1006,48603,4.69E-06
P29,0.077044895,5.44E-08,1006,48603,5.49E-06
P30,-0.07821286,6.43E-08,1006,48603,6.26E-06
P31,0.089493717,7.84E-08,1006,48603,7.39E-06
P32,0.052459616,8.71E-08,1006,48603,7.95E-06
P33,0.084460235,9.03E-08,1006,48603,7.99E-06
P34,0.098691916,1.06E-07,1006,48603,9.13E-06
P35,0.057250068,1.25E-07,1006,48603,1.04E-05
P36,0.145030838,1.45E-07,1006,48603,1.17E-05
P37,0.071523726,1.52E-07,1006,48603,1.20E-05
P38,0.187237426,1.70E-07,1006,48603,1.31E-05
P39,0.23293908,1.85E-07,1006,48603,1.39E-05
P40,0.056280661,1.90E-07,1006,48603,1.39E-05
P41,0.071162659,2.05E-07,1006,48603,1.46E-05
P42,0.053323061,2.29E-07,1006,48603,1.59E-05
P43,0.055330884,2.67E-07,1006,48603,1.82E-05
P44,0.100500219,2.97E-07,1006,48603,1.97E-05
P45,0.051776732,3.16E-07,1006,48603,2.01E-05
P46,0.084328841,3.16E-07,1006,48603,2.01E-05
P47,0.081567596,3.61E-07,1006,48603,2.24E-05
P48,0.060748275,3.73E-07,1006,48603,2.27E-05
P49,0.14705253,3.96E-07,1006,48603,2.27E-05
P50,0.059160214,3.91E-07,1006,48603,2.27E-05
P51,0.056117188,3.83E-07,1006,48603,2.27E-05
P52,0.098086465,4.09E-07,1006,48603,2.27E-05
P53,0.073819255,4.20E-07,1006,48603,2.27E-05
P54,0.102844637,4.17E-07,1006,48603,2.27E-05
P55,0.067534116,4.49E-07,1006,48603,2.39E-05
P56,0.071655391,4.68E-07,1006,48603,2.44E-05
P57,0.113572306,5.02E-07,1006,48603,2.57E-05
P58,0.086093192,5.15E-07,1006,48603,2.59E-05
P59,0.079206338,5.23E-07,1006,48603,2.59E-05
P60,0.072718592,6.41E-07,1006,48603,3.07E-05
P61,0.104254496,6.32E-07,1006,48603,3.07E-05
P62,0.062801591,8.49E-07,1006,48603,4.00E-05
P63,0.0553612,8.70E-07,1006,48603,4.03E-05
P64,0.041490672,9.10E-07,1006,48603,4.16E-05
P65,0.090740412,1.05E-06,1006,48603,4.73E-05
P66,0.060228231,1.13E-06,1006,48603,5.01E-05
P67,0.083907917,1.32E-06,1006,48603,5.76E-05
P68,0.050160303,1.42E-06,1006,48603,6.10E-05
P69,-0.061363903,1.53E-06,1006,48603,6.49E-05
P70,0.043448509,1.83E-06,1006,48603,7.57E-05
P71,-0.043358486,1.85E-06,1006,48603,7.57E-05
P72,0.070098789,1.87E-06,1006,48603,7.57E-05
P73,0.097041775,2.14E-06,1006,48603,8.56E-05
P74,0.193494964,2.71E-06,1006,48603,1.06E-04
P75,-0.098288706,2.72E-06,1006,48603,1.06E-04
P76,0.062496586,2.89E-06,1006,48603,1.11E-04
P77,0.050851103,2.96E-06,1006,48603,1.13E-04
P78,-0.052304119,3.05E-06,1006,48603,1.14E-04
P79,0.072323854,3.28E-06,1006,48603,1.21E-04
P80,-0.062973072,4.73E-06,1006,48603,1.73E-04
P81,0.044948028,5.07E-06,1006,48603,1.83E-04
P82,0.179880631,5.30E-06,1006,48603,1.87E-04
P83,0.065322082,5.31E-06,1006,48603,1.87E-04
P84,0.075614224,5.45E-06,1006,48603,1.90E-04
P85,0.057215751,5.71E-06,1006,48603,1.96E-04
P86,-0.042224892,5.76E-06,1006,48603,1.96E-04
P87,0.056344884,5.90E-06,1006,48603,1.98E-04
P88,0.044817461,6.90E-06,1006,48603,2.29E-04
P89,0.074799994,7.09E-06,1006,48603,2.33E-04
P90,0.072085017,7.28E-06,1006,48603,2.36E-04
P91,0.068556419,8.44E-06,1006,48603,2.71E-04
P92,-0.088739121,8.76E-06,1006,48603,2.78E-04
P93,0.051242615,9.08E-06,1006,48603,2.86E-04
P94,0.058673684,9.78E-06,1006,48603,3.01E-04
P95,-0.085786313,9.68E-06,1006,48603,3.01E-04
P96,0.098391494,1.05E-05,1006,48603,3.18E-04
P97,0.069241574,1.05E-05,1006,48603,3.18E-04
P98,0.059294186,1.12E-05,1006,48603,3.34E-04
P99,-0.090886211,1.15E-05,1006,48603,3.40E-04
P100,0.114137878,1.23E-05,1006,48603,3.59E-04
P101,0.032013971,1.33E-05,1006,48603,3.85E-04
P102,0.057437739,1.34E-05,1006,48603,3.85E-04
P103,0.044038338,1.36E-05,1006,48603,3.86E-04
P104,0.098861017,1.38E-05,1006,48603,3.87E-04
P105,0.055085211,1.44E-05,1006,48603,4.00E-04
P106,0.059015691,1.53E-05,1006,48603,4.21E-04
P107,-0.247584022,1.61E-05,1006,48603,4.39E-04
P108,-0.096104363,1.64E-05,1006,48603,4.43E-04
P109,0.03300412,1.65E-05,1006,48603,4.44E-04
P110,0.055090282,1.76E-05,1006,48603,4.68E-04
P111,-0.065202909,1.80E-05,1006,48603,4.73E-04
P112,0.080876107,1.83E-05,1006,48603,4.77E-04
P113,0.065946833,1.89E-05,1006,48603,4.90E-04
P114,0.078258037,1.93E-05,1006,48603,4.95E-04
P115,-0.047237399,2.08E-05,1006,48603,5.29E-04
P116,0.052986687,2.19E-05,1006,48603,5.51E-04
P117,0.054017286,2.21E-05,1006,48603,5.51E-04
P118,0.046028572,2.24E-05,1006,48603,5.55E-04
P119,0.056004111,2.26E-05,1006,48603,5.56E-04
P120,0.048793846,2.30E-05,1006,48603,5.59E-04
P121,0.073702183,2.31E-05,1006,48603,5.59E-04
P122,0.230845855,2.40E-05,1006,48603,5.75E-04
P123,0.056249157,2.45E-05,1006,48603,5.83E-04
P124,0.049108067,2.53E-05,1006,48603,5.92E-04
P125,0.061096124,2.53E-05,1006,48603,5.92E-04
P126,0.04670045,3.31E-05,1006,48603,7.58E-04
P127,0.061551876,3.32E-05,1006,48603,7.58E-04
P128,0.158531599,3.27E-05,1006,48603,7.58E-04
P129,0.069103212,3.52E-05,1006,48603,7.97E-04
P130,-0.062261845,3.76E-05,1006,48603,8.46E-04
P131,0.040888515,3.86E-05,1006,48603,8.62E-04
P132,0.053004965,3.91E-05,1006,48603,8.64E-04
P133,0.132332468,3.93E-05,1006,48603,8.64E-04
P134,0.04562198,4.20E-05,1006,48603,9.15E-04
P135,0.183134918,4.50E-05,1006,48603,9.74E-04
P136,0.114237197,4.58E-05,1006,48603,9.81E-04
P137,-0.105575842,4.60E-05,1006,48603,9.81E-04
P138,0.05784478,4.64E-05,1006,48603,9.83E-04
P139,0.081805259,4.90E-05,1006,48603,1.03E-03
P140,0.051769396,5.04E-05,1006,48603,1.05E-03
P141,0.068353839,5.43E-05,1006,48603,1.12E-03
P142,0.041741364,5.42E-05,1006,48603,1.12E-03
P143,0.068900111,5.51E-05,1006,48603,1.12E-03
P144,0.174892686,5.51E-05,1006,48603,1.12E-03
P145,0.04092019,5.85E-05,1006,48603,1.18E-03
P146,-0.048431909,6.26E-05,1006,48603,1.25E-03
P147,0.111808209,6.66E-05,1006,48603,1.32E-03
P148,0.045328528,6.73E-05,1006,48603,1.33E-03
P149,0.046450518,7.11E-05,1006,48603,1.39E-03
P150,0.04297151,7.29E-05,1006,48603,1.42E-03
P151,-0.121175431,7.45E-05,1006,48603,1.44E-03
P152,0.146017854,7.69E-05,1006,48603,1.48E-03
P153,0.065971872,8.06E-05,1006,48603,1.54E-03
P154,0.038878897,9.46E-05,1006,48603,1.80E-03
P155,0.046572193,9.80E-05,1006,48603,1.85E-03
P156,0.040375606,1.01E-04,1006,48603,1.89E-03
P157,-0.039668995,1.05E-04,1006,48603,1.96E-03
P158,0.074218231,1.13E-04,1006,48603,2.08E-03
P159,0.067002559,1.15E-04,1006,48603,2.12E-03
P160,0.052066024,1.23E-04,1006,48603,2.24E-03
P161,0.043210662,1.25E-04,1006,48603,2.26E-03
P162,0.04004178,1.28E-04,1006,48603,2.30E-03
P163,0.128975917,1.29E-04,1006,48603,2.30E-03
P164,0.058865709,1.29E-04,1006,48603,2.30E-03
P165,0.060488538,1.36E-04,1006,48603,2.40E-03
P166,0.063250504,1.38E-04,1006,48603,2.43E-03
P167,0.119776311,1.40E-04,1006,48603,2.44E-03
P168,0.040751769,1.40E-04,1006,48603,2.44E-03
P169,0.105828665,1.41E-04,1006,48603,2.44E-03
P170,-0.06552271,1.46E-04,1006,48603,2.52E-03
P171,-0.052112033,1.49E-04,1006,48603,2.54E-03
P172,0.045949449,1.51E-04,1006,48603,2.56E-03
P173,-0.130731735,1.65E-04,1006,48603,2.79E-03
P174,-0.101195922,1.69E-04,1006,48603,2.83E-03
P175,-0.062579432,1.71E-04,1006,48603,2.86E-03
P176,-0.106851152,1.74E-04,1006,48603,2.89E-03
P177,0.064221532,1.75E-04,1006,48603,2.89E-03
P178,0.041877246,1.78E-04,1006,48603,2.92E-03
P179,0.04393012,1.85E-04,1006,48603,3.02E-03
P180,0.080238454,1.89E-04,1006,48603,3.07E-03
P181,0.096926596,1.96E-04,1006,48603,3.16E-03
P182,0.043687723,1.97E-04,1006,48603,3.16E-03
P183,0.040451062,2.03E-04,1006,48603,3.23E-03
P184,0.044639605,2.08E-04,1006,48603,3.31E-03
P185,0.04001962,2.13E-04,1006,48603,3.35E-03
P186,-0.050516235,2.13E-04,1006,48603,3.35E-03
P187,0.042872575,2.15E-04,1006,48603,3.36E-03
P188,0.035885925,2.16E-04,1006,48603,3.36E-03
P189,0.05026193,2.43E-04,1006,48603,3.76E-03
P190,0.064170452,2.47E-04,1006,48603,3.81E-03
P191,0.032031657,2.49E-04,1006,48603,3.81E-03
P192,0.081670176,2.61E-04,1006,48603,3.97E-03
P193,0.065023752,2.64E-04,1006,48603,4.00E-03
P194,-0.061580769,2.72E-04,1006,48603,4.07E-03
P195,0.065767125,2.72E-04,1006,48603,4.07E-03
P196,0.035463616,2.78E-04,1006,48603,4.14E-03
P197,0.048151361,3.01E-04,1006,48603,4.47E-03
P198,-0.035004715,3.09E-04,1006,48603,4.56E-03
P199,0.027049144,3.19E-04,1006,48603,4.68E-03
P200,0.045388152,3.33E-04,1006,48603,4.87E-03
P201,0.042418583,3.38E-04,1006,48603,4.91E-03
P202,0.043345889,3.41E-04,1006,48603,4.94E-03
P203,0.057185521,3.51E-04,1006,48603,5.05E-03
